station,year,month,worldpop_density_250m,worldpop_density_500m,worldpop_density_1000m
Shadipur,2025,2,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,3,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,4,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,5,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,6,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,7,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,8,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,9,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,10,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,11,25840.036046294714,25132.04736812937,24512.078747293483
Shadipur,2025,12,25840.036046294714,25132.04736812937,24512.078747293483
Sirifort,2022,1,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,2,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,3,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,4,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,5,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,6,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,7,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,8,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,9,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,10,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,11,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2022,12,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,1,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,2,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,3,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,4,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,5,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,6,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,7,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,8,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,9,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,10,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,11,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2023,12,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2024,1,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2024,5,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2024,6,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2024,7,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2024,8,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2024,9,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2024,10,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2024,11,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2024,12,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,1,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,2,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,3,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,4,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,5,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,6,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,7,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,8,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,9,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,10,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,11,20743.033850693097,18558.17454717506,19031.14760696313
Sirifort,2025,12,20743.033850693097,18558.17454717506,19031.14760696313
Sonia_Vihar,2022,1,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,2,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,3,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,4,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,5,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,6,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,7,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,8,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,9,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,10,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,11,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2022,12,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,1,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,2,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,3,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,4,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,5,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,6,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,7,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,8,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,9,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,10,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,11,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2023,12,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,1,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,2,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,3,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,4,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,5,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,6,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,7,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,8,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,9,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,10,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,11,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2024,12,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2025,1,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2025,2,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2025,3,19604.816309439393,25391.729873014447,26520.39481540672
Sonia_Vihar,2025,4,19604.816309439393,25391.729873014447,26520.39481540672
