country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","04-08-2026 05:00:00",22.977134,72.553024,PM2.5,20,76,46
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","04-08-2026 05:00:00",22.977134,72.553024,NO2,17,21,19
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","04-08-2026 05:00:00",22.977134,72.553024,OZONE,9,22,13
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","04-08-2026 05:00:00",23.023389,72.515201,PM2.5,51,91,70
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","04-08-2026 05:00:00",23.020509,72.579261,PM2.5,17,41,32
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","04-08-2026 05:00:00",28.6701,76.9254,SO2,7,9,8
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","04-08-2026 05:00:00",28.3419248,77.319699,OZONE,4,30,16
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","04-08-2026 05:00:00",28.593883,76.270653,PM10,28,78,51
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","04-08-2026 05:00:00",28.2068,76.7997,PM2.5,38,85,54
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","04-08-2026 05:00:00",28.2068,76.7997,NO2,17,62,43
