station,year,month,pm25
IMD_Lodhi_Road,2024,8,22.88
IMD_Lodhi_Road,2024,9,36.09
IMD_Lodhi_Road,2024,10,88.08
IMD_Lodhi_Road,2024,11,186.23
IMD_Lodhi_Road,2024,12,118.92
IMD_Lodhi_Road,2025,1,121.86
IMD_Lodhi_Road,2025,2,73.57
IMD_Lodhi_Road,2025,3,52.91
IMD_Lodhi_Road,2025,4,65.17
IMD_Lodhi_Road,2025,5,55.48
IMD_Lodhi_Road,2025,6,36.6
IMD_Lodhi_Road,2025,7,20.67
IMD_Lodhi_Road,2025,9,41.09
IMD_Lodhi_Road,2025,10,91.69
IMD_Lodhi_Road,2025,11,176.55
IMD_Lodhi_Road,2025,12,158.37
ITO,2022,1,153.19
ITO,2022,2,119.36
ITO,2022,3,117.79
ITO,2022,4,90.9
ITO,2022,5,93.37
ITO,2022,6,65.78
ITO,2022,7,42.19
ITO,2022,8,37.57
ITO,2022,9,50.21
ITO,2022,10,118.82
ITO,2022,11,166.96
ITO,2022,12,166.59
ITO,2023,1,227.6
ITO,2023,2,152.03
ITO,2023,3,74.34
ITO,2023,4,52.35
ITO,2023,5,74.14
ITO,2023,6,44.24
ITO,2023,7,39.47
ITO,2023,8,36.02
ITO,2023,9,41.89
ITO,2023,10,96.0
ITO,2023,11,240.62
ITO,2023,12,222.34
ITO,2024,1,189.44
ITO,2024,2,101.38
ITO,2024,3,80.33
ITO,2024,4,59.1
ITO,2024,5,95.86
ITO,2024,6,62.34
ITO,2024,7,42.03
ITO,2024,8,27.55
ITO,2024,9,37.39
ITO,2024,10,107.29
ITO,2024,11,216.16
ITO,2024,12,171.04
ITO,2025,1,152.69
ITO,2025,2,104.63
ITO,2025,3,68.11
ITO,2025,4,75.65
ITO,2025,5,64.66
ITO,2025,6,52.14
ITO,2025,7,37.31
ITO,2025,8,35.3
ITO,2025,9,34.19
ITO,2025,10,111.32
ITO,2025,11,235.52
ITO,2025,12,229.84
Jahangirpuri,2022,1,232.22
Jahangirpuri,2022,2,152.46
Jahangirpuri,2022,3,129.82
Jahangirpuri,2022,4,135.3
Jahangirpuri,2022,5,74.62
Jahangirpuri,2022,6,59.8
Jahangirpuri,2022,7,45.48
Jahangirpuri,2022,8,45.53
Jahangirpuri,2022,9,48.92
Jahangirpuri,2022,10,135.87
Jahangirpuri,2022,11,231.85
Jahangirpuri,2022,12,225.23
Jahangirpuri,2023,1,204.18
Jahangirpuri,2023,2,137.07
Jahangirpuri,2023,3,94.89
Jahangirpuri,2023,4,88.48
Jahangirpuri,2023,5,77.49
Jahangirpuri,2023,6,47.76
Jahangirpuri,2023,7,41.73
Jahangirpuri,2023,8,46.5
Jahangirpuri,2023,9,47.77
Jahangirpuri,2023,10,134.36
Jahangirpuri,2023,11,301.49
Jahangirpuri,2023,12,254.46
Jahangirpuri,2024,1,252.25
Jahangirpuri,2024,2,140.14
Jahangirpuri,2024,3,96.05
